date,ticker,simfinid_x,open,high,low,close,adj._close,volume,dividend,shares_outstanding,simfinid_y,company_name,industryid,isin,end_of_financial_year_(month),market,main_currency,ma_5,ma_20,volatility_10,price_movement
2020-03-17,HCMC,15585628,0.0,0.0,0.0,0.0,0.0,110001,0.0,48963000.0,15585628,Healthier Choices Management Corp.,102001.0,US42226N1090,12.0,us,USD,17.689999999999962,42.436,70.61363875972464,1
2020-03-17,NVDA,172199,5.02,5.52,4.78,5.43,5.41,833631960,0.0,24480000000.0,172199,NVIDIA CORP,101004.0,US67066G1040,1.0,us,USD,7.01599999999996,42.7065,70.29310274367842,0
2020-03-17,PHIL,15071408,0.0,0.0,0.0,0.0,0.0,2430500,0.0,48963000.0,15071408,Philux Global Group Inc.,104003.0,US69338D2080,12.0,us,USD,7.01599999999996,40.884499999999996,30.121012765177753,1
2020-03-17,SPY,1072401,245.04,256.17,237.07,252.8,234.23,260566279,0.0,48963000.0,1072401,SPDR S&P 500 ETF TRUST,Unknown Industry,Unknown,12.0,us,USD,47.927999999999955,52.596000000000004,73.1548603686423,0
2020-03-17,AAPL,111052,61.88,64.4,59.6,63.22,61.37,324055860,0.0,17501920000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,60.201999999999956,43.1875,72.62334721775848,0
2020-03-17,TSLA,56317,29.33,31.46,26.4,28.68,28.68,359918700,0.0,2720123790.0,56317,Tesla,103005.0,US88160R1014,12.0,us,USD,65.93799999999996,44.6215,71.75039422268777,1
2020-03-17,AMZN,62747,88.77,92.89,84.46,90.39,90.39,218342580,0.0,9956208880.0,62747,AMAZON COM INC,103002.0,US0231351067,12.0,us,USD,82.93399999999994,44.6785,73.26127903303048,0
2020-03-17,SANP,660201,0.0,0.0,0.0,0.0,0.0,466420,0.0,422346953.0,660201,SANTO MINING CORP.,101003.0,Unknown,7.0,us,USD,82.93399999999994,44.378499999999995,73.26127903303048,0
2020-03-17,SEEK,660635,0.0,0.0,0.0,0.0,0.0,2000,0.0,8471034676.0,660635,"THEDIRECTORY.COM, INC.",101002.0,Unknown,11.0,us,USD,36.08799999999996,44.378499999999995,74.53963282859809,0
2020-03-18,TGGI,13511458,0.0,0.0,0.0,0.0,0.0,45318906,0.0,48963000.0,13511458,"Trans Global Group, Inc.",104002.0,Unknown,12.0,us,USD,23.813999999999957,41.0055,74.53963282859809,1
2020-03-18,TSLA,56317,25.93,26.99,23.37,24.08,24.08,354375075,0.0,2720123790.0,56317,Tesla,103005.0,US88160R1014,12.0,us,USD,22.89399999999996,42.2095,73.41220625118592,1
2020-03-18,AMZN,62747,87.5,92.08,87.25,91.5,91.5,191925940,0.0,9956208880.0,62747,AMAZON COM INC,103002.0,US0231351067,12.0,us,USD,23.11599999999996,46.784499999999994,73.37760364489058,1
2020-03-18,SPY,1072401,236.25,248.37,228.02,240.0,222.37,324845381,0.0,48963000.0,1072401,SPDR S&P 500 ETF TRUST,Unknown Industry,Unknown,12.0,us,USD,67.58999999999996,46.7915,87.80008299160839,0
2020-03-18,SANP,660201,0.0,0.0,0.0,0.0,0.0,395500,0.0,422346953.0,660201,SANTO MINING CORP.,101003.0,Unknown,7.0,us,USD,67.58999999999996,42.5685,70.1481491717509,1
2020-03-18,AAPL,111052,59.94,62.5,59.28,61.67,59.86,300233624,0.0,17501920000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,79.56199999999997,45.5615,70.12697528214244,0
2020-03-18,PHIL,15071408,0.0,0.0,0.0,0.0,0.0,50,0.0,48963000.0,15071408,Philux Global Group Inc.,104003.0,US69338D2080,12.0,us,USD,74.74599999999997,45.317,71.74039695705308,1
2020-03-18,NVDA,172199,5.0,5.25,4.52,5.07,5.05,869095400,0.0,24480000000.0,172199,NVIDIA CORP,101004.0,US67066G1040,1.0,us,USD,57.455999999999975,42.6305,71.32057318894736,0
2020-03-18,HCMC,15585628,0.0,0.0,0.0,0.0,0.0,6301150,0.0,48963000.0,15585628,Healthier Choices Management Corp.,102001.0,US42226N1090,12.0,us,USD,12.981999999999966,42.6305,71.32057318894736,1
2020-03-19,SPY,1072401,239.25,247.38,232.22,240.51,222.85,288124389,0.0,48963000.0,1072401,SPDR S&P 500 ETF TRUST,Unknown Industry,Unknown,12.0,us,USD,57.551999999999964,52.2895,89.76516120163517,0
2020-03-19,AMZN,62747,93.0,97.25,91.63,94.05,94.05,207998860,0.0,9956208880.0,62747,AMAZON COM INC,103002.0,US0231351067,12.0,us,USD,64.38999999999996,56.992,87.37614385835269,0
2020-03-19,TSLA,56317,24.98,30.13,23.9,28.51,28.51,452931900,0.0,2720123790.0,56317,Tesla,103005.0,US88160R1014,12.0,us,USD,70.09199999999996,58.4175,87.11717427949803,0
2020-03-19,NVDA,172199,5.05,5.42,4.83,5.32,5.31,765513880,0.0,24480000000.0,172199,NVIDIA CORP,101004.0,US67066G1040,1.0,us,USD,70.14399999999996,58.41249999999999,89.25698242216741,1
2020-03-19,AAPL,111052,61.85,63.21,60.65,61.2,59.41,271857020,0.0,17501920000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,82.02599999999995,61.382999999999996,69.85740336173711,0
2020-03-19,TGGI,13511458,0.0,0.0,0.0,0.0,0.0,7960002,0.0,48963000.0,13511458,"Trans Global Group, Inc.",104002.0,Unknown,12.0,us,USD,37.45599999999997,49.671499999999995,69.85740336173711,0
2020-03-19,HCMC,15585628,0.0,0.0,0.0,0.0,0.0,1,0.0,48963000.0,15585628,Healthier Choices Management Corp.,102001.0,US42226N1090,12.0,us,USD,18.645999999999965,46.602999999999994,71.232131139442,0
2020-03-19,SEEK,660635,0.0,0.0,0.0,0.0,0.0,1501000,0.0,8471034676.0,660635,"THEDIRECTORY.COM, INC.",101002.0,Unknown,11.0,us,USD,12.943999999999965,45.169,71.232131139442,1
2020-03-20,TSLA,56317,29.21,31.8,28.39,28.5,28.5,424282530,0.0,2720123790.0,56317,Tesla,103005.0,US88160R1014,12.0,us,USD,17.581999999999965,42.0745,70.27779134738559,0
2020-03-20,HCMC,15585628,0.0,0.0,0.0,0.0,0.0,3,0.0,48963000.0,15585628,Healthier Choices Management Corp.,102001.0,US42226N1090,12.0,us,USD,5.6999999999999655,42.0745,70.27779134738559,1
2020-03-20,NVDA,172199,5.47,5.76,5.13,5.14,5.13,804634160,0.0,24480000000.0,172199,NVIDIA CORP,101004.0,US67066G1040,1.0,us,USD,6.725999999999966,42.331,31.927715041602667,0
2020-03-20,PHIL,15071408,0.0,0.0,0.0,0.0,0.0,1800912,0.0,48963000.0,15071408,Philux Global Group Inc.,104003.0,US69338D2080,12.0,us,USD,6.725999999999966,42.330999999999996,19.99940343554738,0
2020-03-20,SANP,660201,0.0,0.0,0.0,0.0,0.0,2311,0.0,422346953.0,660201,SANTO MINING CORP.,101003.0,Unknown,7.0,us,USD,6.725999999999966,41.126999999999995,19.519331870396435,1
2020-03-20,AAPL,111052,61.8,62.96,57.0,57.31,55.63,401693384,0.0,17501920000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,12.151999999999967,39.3335,24.15812495023397,1
2020-03-20,SPY,1072401,242.53,244.47,228.5,228.8,213.3,344276957,1.41,48963000.0,1072401,SPDR S&P 500 ETF TRUST,Unknown Industry,Unknown,12.0,us,USD,54.81199999999997,38.88,66.89618693667576,0
2020-03-20,AMZN,62747,96.32,97.85,91.04,92.3,92.3,196357000,0.0,9956208880.0,62747,AMAZON COM INC,103002.0,US0231351067,12.0,us,USD,72.24599999999997,43.495,68.60353233536077,0
2020-03-20,TGGI,13511458,0.0,0.0,0.0,0.0,0.0,161737670,0.0,48963000.0,13511458,"Trans Global Group, Inc.",104002.0,Unknown,12.0,us,USD,72.24599999999997,40.501999999999995,68.60353233536077,0
2020-03-23,TGGI,13511458,0.0,0.0,0.0,0.0,0.0,26612497,0.0,48963000.0,13511458,"Trans Global Group, Inc.",104002.0,Unknown,12.0,us,USD,72.24599999999997,40.501999999999995,68.60353233536077,0
2020-03-23,PHIL,15071408,0.0,0.0,0.0,0.0,0.0,8638294,0.0,48963000.0,15071408,Philux Global Group Inc.,104003.0,US69338D2080,12.0,us,USD,61.11999999999997,40.2495,69.6939570471421,1
2020-03-23,NVDA,172199,5.14,5.41,4.96,5.32,5.3,643874640,0.0,24480000000.0,172199,NVIDIA CORP,101004.0,US67066G1040,1.0,us,USD,19.519999999999964,40.514500000000005,69.403945004749,1
2020-03-23,TSLA,56317,28.91,29.47,27.37,28.95,28.95,246818235,0.0,2720123790.0,56317,Tesla,103005.0,US88160R1014,12.0,us,USD,6.849999999999966,30.819499999999998,68.58622015795561,1
2020-03-23,SPY,1072401,228.19,229.68,218.26,222.95,207.84,323100167,0.0,48963000.0,1072401,SPDR S&P 500 ETF TRUST,Unknown Industry,Unknown,12.0,us,USD,48.417999999999964,36.509,84.8364654038711,0
2020-03-23,AMZN,62747,91.39,95.97,90.6,95.14,95.14,156169780,0.0,9956208880.0,62747,AMAZON COM INC,103002.0,US0231351067,12.0,us,USD,67.44599999999997,39.840500000000006,82.62466502873765,0
2020-03-23,SEEK,660635,0.0,0.0,0.0,0.0,0.0,350000,0.0,8471034676.0,660635,"THEDIRECTORY.COM, INC.",101002.0,Unknown,11.0,us,USD,67.44599999999997,39.575,85.51050410459652,0
2020-03-23,SANP,660201,0.0,0.0,0.0,0.0,0.0,250000,0.0,422346953.0,660201,SANTO MINING CORP.,101003.0,Unknown,7.0,us,USD,66.38599999999997,36.6045,69.26997554656867,1
2020-03-23,AAPL,111052,57.02,57.12,53.15,56.09,54.45,336752832,0.0,17501920000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,71.48599999999996,39.327000000000005,67.27948173271122,0
2020-03-23,HCMC,15585628,0.0,0.0,0.0,0.0,0.0,400003,0.0,48963000.0,15585628,Healthier Choices Management Corp.,102001.0,US42226N1090,12.0,us,USD,29.917999999999967,39.327000000000005,67.27948173271122,1
2020-03-24,AAPL,111052,59.09,61.92,58.58,61.72,59.92,287531092,0.0,17501920000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,22.873999999999967,42.323,66.06077218911554,0
2020-03-24,NVDA,172199,5.72,6.32,5.7,6.23,6.21,1101643800,0.0,24480000000.0,172199,NVIDIA CORP,101004.0,US67066G1040,1.0,us,USD,24.115999999999964,41.2085,65.61677553966075,0
2020-03-24,PHIL,15071408,0.0,0.0,0.0,0.0,0.0,6207998,0.0,48963000.0,15071408,Philux Global Group Inc.,104003.0,US69338D2080,12.0,us,USD,24.115999999999964,41.2085,66.00036253267434,0
2020-03-24,HCMC,15585628,0.0,0.0,0.0,0.0,0.0,1000003,0.0,48963000.0,15585628,Healthier Choices Management Corp.,102001.0,US42226N1090,12.0,us,USD,13.225999999999965,40.952000000000005,67.4145968697515,0
